	CTL_UNT_R1	CTL_UNT_R2	CTL_UNT_R3	CTL_HUM_R1	CTL_HUM_R2	CTL_HUM_R3	GFP_UNT_R1	GFP_UNT_R2	GFP_UNT_R3	GFP_HUM_R1	GFP_HUM_R2	GFP_HUM_R3	YELL_UNT_R1	YELL_UNT_R2	YELL_UNT_R3	YELL_HUM_R1	YELL_HUM_R2	YELL_HUM_R3
dnaK 	78	510	49	1141	1750	244	97	22	1249	327	42	1350	1010	216	460	47	143	0
htpG 	4	29	2	80	81	21	8	0	85	18	0	42	37	13	18	2	5	0
recD 	0	0	0	1	8	2	0	0	2	0	0	0	2	0	0	0	0	0
mnmG 	12	36	6	92	109	26	4	3	86	42	3	53	53	22	56	8	7	0
lepA 	0	2	0	6	14	0	1	0	6	3	0	6	6	0	0	0	0	0
ftsH 	21	69	5	100	178	16	15	1	145	38	5	135	91	24	70	4	12	0
infB 	1	0	0	8	5	10	1	0	12	4	0	4	15	6	2	1	1	0
mrdA 	2	3	0	11	11	4	0	0	10	4	0	4	8	2	5	0	0	0
dnaG 	1	2	0	2	4	3	0	0	7	2	0	6	2	2	0	0	0	0
argS 	0	2	0	0	2	6	0	0	4	1	0	3	5	1	2	0	0	0
ligA 	4	3	1	2	1	0	0	0	8	0	0	1	4	0	0	0	0	0
proS 	0	1	0	9	9	6	0	0	1	4	0	1	8	2	0	0	0	0
groL 	642	3036	349	6465	9931	1869	502	206	5538	2224	269	5554	4014	875	2491	366	762	0
pgi 	3	7	0	14	6	2	0	0	8	9	0	10	16	2	5	1	1	0
aspS 	10	10	3	34	45	10	2	2	32	7	0	28	13	15	6	2	3	0
rpsA 	7	17	2	43	52	13	6	0	90	22	4	74	63	12	56	12	10	0
metG 	3	12	2	13	9	2	1	0	13	5	0	8	12	2	10	0	3	0
glnS 	1	5	0	5	7	0	0	0	8	0	2	5	7	1	2	0	0	0
hypothetical_protein_1 	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0
rne 	2	2	0	1	5	0	1	0	12	1	0	0	3	0	1	0	0	0
murE 	2	0	1	6	6	0	1	0	7	5	0	11	1	1	1	0	0	0
murJ 	1	1	0	3	6	0	0	0	6	5	0	2	2	3	0	0	0	0
rpoD 	0	9	0	16	28	7	5	0	31	7	0	19	12	7	12	0	6	0
tldD 	12	7	0	34	49	10	3	2	28	17	1	19	18	14	23	3	5	0
murC 	0	1	0	4	7	0	0	0	7	3	0	6	2	0	1	4	0	0
der 	3	7	1	8	15	4	2	1	11	2	0	2	4	3	1	1	0	0
pykF 	0	8	1	18	24	5	4	0	41	12	0	16	18	1	7	2	1	0
gltX 	0	0	0	2	6	0	2	0	3	0	0	4	0	0	0	0	0	0
mnmE 	1	4	0	6	14	6	0	0	10	10	0	3	14	6	6	2	0	0
lysU 	2	8	0	3	11	5	2	1	6	7	1	9	4	3	4	0	1	0
cysS 	0	0	1	7	7	1	0	0	7	1	0	12	3	0	2	0	1	0
sufB 	0	0	0	7	17	0	0	1	3	1	0	8	10	2	4	0	0	0
dnaB 	3	11	2	19	51	6	5	0	21	9	0	35	21	2	12	0	3	0
murF 	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0
asnS 	1	0	0	11	12	3	0	0	6	3	0	8	5	2	3	2	0	0
pmbA 	0	0	0	2	0	0	0	0	0	0	0	1	3	1	2	0	0	0
miaB 	5	11	2	30	21	11	1	0	36	14	2	19	17	14	14	2	5	0
deaD 	3	2	1	13	23	6	2	0	19	3	0	4	9	12	2	0	1	0
hslU 	1	8	1	32	20	8	6	4	31	10	1	34	24	6	6	1	1	0
murD 	1	0	0	5	3	0	0	0	4	1	0	0	5	1	2	0	0	0
secY 	0	1	0	6	7	1	0	0	4	0	0	5	1	2	2	0	0	0
eno 	10	35	4	98	97	21	5	1	86	41	4	71	46	16	58	5	11	0
tilS 	1	1	0	0	7	4	0	0	6	5	0	3	5	0	0	0	0	0
serS 	0	3	1	0	4	0	0	0	1	1	0	1	0	0	1	0	0	0
hisS 	2	0	0	6	13	0	0	0	7	3	0	2	5	3	2	0	0	0
hflX 	0	1	2	10	11	0	1	0	7	2	0	5	6	5	3	0	5	0
rho 	96	388	53	1024	1225	284	61	13	896	317	20	757	636	103	359	66	105	0
tyrS 	0	1	0	0	0	0	0	0	2	0	0	0	2	1	0	0	0	0
sufS 	5	0	0	9	19	5	4	0	16	4	0	15	7	2	4	0	0	0
thrS 	3	5	0	13	22	4	0	2	26	7	1	19	29	3	11	1	3	0
cca 	1	4	0	5	4	2	2	1	5	5	0	2	0	0	4	5	1	0
dacA 	0	0	0	4	1	2	0	1	3	2	0	3	2	0	2	1	0	0
tufB 	44	168	24	295	522	110	36	7	396	106	16	377	319	82	184	40	38	0
clpX 	5	6	1	13	14	2	0	0	36	9	1	21	11	8	18	2	0	0
pgk 	1	1	0	2	1	0	1	0	8	4	0	3	7	0	0	1	0	0
dnaJ 	39	140	29	411	541	83	30	10	425	109	7	323	288	95	136	20	56	0
dnaN 	2	1	0	0	6	0	2	0	0	1	0	2	0	0	0	0	0	0
dnaX 	2	9	1	12	15	7	1	0	18	9	0	17	6	0	6	2	1	0
mnmA 	0	1	0	1	6	3	0	0	1	0	0	2	1	0	0	0	0	0
mrdB 	4	1	0	3	9	1	0	0	7	2	0	3	4	2	2	0	0	0
phoE 	3	5	0	9	20	2	3	0	9	8	2	9	8	2	6	1	0	0
prfA 	0	2	3	10	9	1	3	0	7	7	0	2	12	4	8	4	0	0
murG 	0	3	0	7	7	0	0	0	9	5	0	3	3	2	1	0	0	0
mraY 	1	0	0	4	8	1	0	0	1	0	1	0	1	1	1	0	0	0
mreB 	2	11	5	13	31	1	10	4	20	4	2	24	16	7	16	0	3	0
nusA 	2	4	2	28	26	2	1	0	18	15	1	24	14	7	8	1	1	0
murB 	0	2	1	7	10	5	1	0	3	3	0	3	2	0	4	0	4	0
dusA 	0	1	0	1	0	0	2	0	0	4	0	1	0	0	0	0	0	0
ychF 	0	0	0	1	6	0	0	0	3	0	0	4	1	1	0	0	0	0
tsaD 	1	3	0	0	6	5	1	0	2	6	0	3	0	0	6	0	0	0
gapA 	4	5	0	11	14	3	3	0	25	11	0	22	8	0	11	0	0	0
rpoA 	4	4	1	3	10	2	0	0	18	4	0	6	6	6	1	1	3	0
holB 	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0
recA 	3	3	0	18	32	10	3	0	29	14	2	31	16	6	11	0	3	0
sufD 	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
pheS 	0	0	0	2	7	0	0	0	8	1	0	1	0	0	0	0	0	0
rluD 	1	0	0	1	6	1	0	0	1	0	0	1	1	2	0	0	0	0
trxB 	0	1	0	0	5	0	0	0	2	0	0	1	4	0	1	0	0	0
miaA 	0	1	0	4	9	0	0	0	2	1	1	1	2	2	1	0	1	0
fmt 	0	0	0	3	3	0	0	0	4	1	0	4	1	1	1	0	0	0
rluC 	0	4	0	10	7	5	1	0	16	5	1	6	3	0	4	0	1	0
rsmH 	0	1	0	1	0	2	0	0	0	2	0	1	1	3	0	0	2	0
ddl 	1	1	0	2	10	2	0	0	4	3	0	6	2	2	1	0	3	0
rbn 	1	0	0	5	6	1	0	0	3	2	0	4	2	0	0	1	0	0
lepB 	0	1	0	0	1	2	0	0	0	3	0	2	2	2	2	0	0	0
prmB 	0	0	0	0	1	1	0	0	1	1	0	3	3	0	1	1	0	0
glyQ 	6	2	0	7	6	1	0	0	5	4	0	6	4	0	1	0	0	0
era 	0	0	0	0	3	0	0	0	1	0	0	0	1	0	1	0	1	0
rpoH 	1	4	0	12	22	0	2	1	16	6	0	11	7	3	4	1	2	0
prmC 	0	0	0	0	1	1	0	0	3	0	0	0	0	0	0	0	0	0
rplB 	5	22	1	47	45	9	6	0	43	10	0	32	20	21	15	9	6	0
mreC 	2	0	0	4	9	0	0	0	1	2	0	1	3	0	0	0	0	0
ycfH 	0	0	0	3	2	0	0	0	1	0	0	0	0	0	2	0	0	0
tsf 	1	1	2	3	4	2	0	0	4	2	0	1	1	0	5	0	0	0
sufC 	1	1	0	3	8	0	0	0	1	1	0	5	1	0	3	0	0	0
rlmB 	0	0	0	0	5	0	0	0	0	0	0	0	1	3	1	0	1	0
rsmA 	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	0	0	0
hypothetical_protein_2 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
map 	0	0	0	0	1	0	0	0	2	1	0	2	3	1	0	0	0	0
truA 	0	2	0	1	4	2	3	0	0	3	0	1	0	2	4	0	0	0
dnaQ 	1	3	0	5	7	1	0	0	2	2	0	0	4	0	2	1	0	0
polA 	0	1	2	3	12	4	0	0	1	6	0	6	2	1	1	0	1	0
speD 	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0
trpS 	1	1	0	1	3	1	0	0	3	0	0	1	3	0	2	0	0	0
uppS 	3	6	0	6	10	4	0	0	15	4	0	5	5	3	4	0	0	0
rpsC 	6	8	0	24	47	20	2	5	34	11	3	46	33	13	23	3	6	0
truB 	0	3	0	7	5	1	0	0	4	3	0	1	1	0	0	0	0	0
ybeZ 	6	2	1	24	30	7	1	3	22	12	0	10	5	4	11	1	1	0
rpsB 	1	2	0	4	9	4	0	0	13	2	0	9	9	1	0	0	4	0
rnc 	0	2	0	1	12	0	0	0	2	0	1	0	3	0	2	0	0	0
ybhL 	0	1	0	0	4	0	0	1	1	0	0	0	0	0	3	0	0	0
ung 	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0
rplA 	5	8	2	9	34	8	2	0	20	12	2	16	16	8	7	2	1	0
rplC 	2	12	1	19	45	11	5	0	50	19	2	41	28	7	25	4	4	0
rpsD 	0	0	0	9	11	4	0	0	11	4	0	3	4	6	4	0	0	0
rplD 	4	9	0	23	23	7	5	0	27	12	2	21	19	7	20	5	4	0
ahpC 	3	2	2	4	15	6	3	0	16	3	0	16	9	6	7	2	0	0
grpE 	0	7	1	6	12	7	0	0	8	1	1	7	5	0	6	1	0	0
pgpB 	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
clpP 	2	2	1	10	7	4	0	0	14	6	0	25	9	1	7	1	0	0
tsaB 	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0
pth 	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
rsmD 	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0
xydjM 	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
frr 	0	0	0	2	1	0	0	0	1	0	0	1	1	0	0	0	0	0
rplF 	2	2	0	2	13	1	0	0	0	1	0	2	1	2	2	0	0	0
nusG 	3	7	0	12	18	2	0	1	12	6	1	16	10	7	9	1	1	0
efp 	1	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0
rplE 	0	0	0	2	0	0	0	1	4	0	0	0	1	2	1	2	0	0
trmD 	4	0	0	5	10	1	0	0	6	0	0	7	3	1	1	0	0	0
ppa 	0	0	0	5	9	1	0	0	3	0	0	7	2	0	1	0	0	0
hslV 	6	6	0	17	20	3	1	0	14	12	0	10	15	1	7	0	1	0
fldA 	0	1	0	3	2	0	0	0	0	0	0	0	0	0	1	0	0	0
rnhA 	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
skp 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
rplJ 	0	0	0	0	2	1	0	0	3	1	0	1	1	0	0	0	0	0
rpsE 	1	6	0	7	8	3	1	0	4	3	0	2	8	4	1	1	4	0
rpsG 	4	15	2	16	59	18	2	0	47	5	1	52	24	6	21	7	8	0
ruvC 	3	5	0	37	33	11	4	1	35	7	1	15	15	10	14	2	0	0
hypothetical_protein_3 	0	1	0	2	1	0	0	0	1	1	0	0	3	0	0	0	0	0
tsaE 	0	0	0	5	5	4	1	1	3	4	0	2	0	1	2	0	0	0
ssb 	0	15	0	21	32	9	1	0	46	15	0	45	45	4	23	5	0	0
rplI 	2	2	1	12	10	3	1	0	5	3	0	3	5	2	1	0	3	0
ybeY 	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
def1 	0	0	0	1	7	3	0	0	4	1	0	5	0	0	0	1	1	0
nusB 	0	0	0	1	3	0	0	0	6	1	0	2	0	0	0	1	0	0
smpB 	0	0	1	1	9	1	1	0	3	0	0	3	1	0	1	0	0	0
rplP 	2	15	3	15	39	8	0	1	40	12	0	41	16	10	19	3	3	0
yqgF 	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
rplK 	1	6	0	8	13	1	1	1	9	6	0	17	6	2	8	1	0	0
rplO 	0	0	0	7	7	1	0	0	7	0	0	1	0	0	0	2	1	0
rplM 	4	1	0	13	22	3	1	0	14	10	0	12	18	1	7	2	0	0
sufE 	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0
rpsI 	1	1	0	6	8	0	0	0	9	2	2	6	0	0	2	0	1	0
rpsH 	0	0	0	3	7	2	3	0	7	2	0	3	3	2	4	0	0	0
trxA 	2	11	1	18	15	5	1	0	21	3	0	16	10	9	16	4	4	0
rodZ 	0	0	0	2	1	0	0	0	1	2	0	3	0	1	2	0	0	0
rpsK 	1	16	1	12	14	3	2	0	13	20	0	20	15	7	9	1	4	0
acpS 	0	0	0	3	7	0	1	0	3	1	0	4	1	0	2	1	0	0
rplL 	0	1	0	5	1	0	0	0	1	2	0	0	5	0	0	0	1	0
rpsL 	0	8	3	20	6	1	0	0	15	5	0	13	5	0	8	0	2	0
rplN 	4	6	1	6	7	1	0	0	10	0	0	4	4	1	2	0	0	0
rbfA 	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
rplR 	4	0	0	0	3	0	1	0	6	5	0	2	2	2	2	0	0	0
rpsM 	0	1	1	4	9	1	2	0	7	2	0	5	3	2	6	2	0	0
rplQ 	0	0	0	0	1	1	0	0	5	0	0	2	1	1	2	0	0	0
rnpA 	0	4	0	2	5	0	1	0	0	2	0	0	5	0	0	0	0	0
rplT 	2	5	0	4	7	3	0	0	3	3	0	7	4	0	4	0	0	0
Purine_nucleoside_phosphoramidase 	0	1	0	1	6	0	0	0	1	0	0	3	7	0	1	0	0	0
hypothetical_protein_4 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
secE 	0	0	0	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0
rplV 	0	2	0	4	4	2	0	0	3	3	1	0	6	2	4	0	0	0
rplS 	0	1	0	0	2	0	0	0	8	0	0	1	1	0	0	0	1	0
rplU 	0	1	0	1	2	0	0	0	2	0	0	0	0	0	1	0	0	0
rplX 	0	0	2	1	8	2	0	1	4	2	0	6	0	4	0	0	2	0
rpsF 	0	3	0	2	10	0	1	0	1	0	2	3	3	0	2	0	0	0
hspQ 	0	0	0	3	4	0	0	0	2	0	0	1	0	0	0	0	0	0
rpsJ 	7	16	0	42	54	11	2	0	55	23	1	35	36	7	23	2	7	0
rpsN 	0	2	0	0	2	2	0	0	3	1	1	10	4	2	0	0	2	0
hypothetical_protein_5 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rpsS 	0	15	1	18	32	3	3	3	14	16	0	18	15	1	11	4	1	0
rplW 	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0
groS 	32	232	21	408	681	125	44	14	419	146	16	462	285	59	261	20	65	0
rplY 	0	3	0	2	10	2	0	0	6	2	0	5	4	0	2	0	0	0
hypothetical_protein_6 	2	1	0	11	4	0	0	0	1	3	0	2	1	0	3	0	0	0
tusE 	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0
rpsT 	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
rpsO 	2	0	0	8	12	0	1	0	5	10	0	0	2	2	2	1	2	0
rpmA 	0	3	0	7	12	0	1	0	5	6	1	5	5	0	6	0	0	0
rpsQ 	0	1	1	6	2	0	1	0	3	0	0	0	0	1	0	0	1	0
rpsP 	2	0	0	2	2	0	0	0	2	0	0	0	0	0	2	0	1	0
acpP 	7	8	1	22	48	11	1	5	60	7	1	28	17	4	13	1	1	0
nfuA 	0	2	0	0	2	0	0	0	1	0	0	1	3	0	0	0	0	0
rpsR 	0	1	0	0	4	1	0	0	1	1	0	0	2	0	1	0	0	0
rpmB 	0	0	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0
rpoZ 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
infA 	0	1	0	2	3	0	1	0	7	2	0	8	4	0	4	0	0	0
rpsU 	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
rpmE 	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
cspE 	212	1228	181	1445	3207	704	237	90	2102	590	84	2185	1061	233	904	111	148	0
rpmC 	0	0	0	0	0	0	0	0	1	2	0	0	3	0	0	0	1	0
rpmI 	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0
csrA 	0	2	0	1	3	0	0	0	4	1	0	4	1	0	1	1	0	0
rpmG 	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
rpmF 	0	1	0	8	9	1	0	0	10	1	1	8	5	0	3	2	1	0
rpmH 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rpmJ 	0	0	0	0	1	0	0	0	4	0	0	0	0	0	1	0	0	0
hypothetical_protein_7 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hypothetical_protein_8 	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
aguA 	2	1	0	1	7	0	0	0	8	1	0	4	6	0	1	0	0	0
hypothetical_protein_9 	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
pehA 	433	1536	251	2082	4570	1121	212	123	3972	1285	190	3617	2539	663	1583	170	475	2
